name,price,url,source,rating,reviews,weight_g,original_currency,original_value,standardized_price_inr,price_inr,cleaned_name,price_per_gram,dedup_hash,popularity_score,popularity_rank
"Dalmond Truffles Handmade Almond Date Chocolates Gift Box and Chocolates Gift Pack -12 Pcs, Assorted - Dark, Milk & White ...",499.0,https://www.amazon.in/dp/B0854D68PX,amazon,4.2,,,INR,499.0,499.0,499.0,"Dalmond Truffles Handmade Almond Date Chocolates Gift Box and Chocolates Gift Pack -12 Pcs, Assorted - Dark, Milk & White ...",,c6056d0971b5f7f85b03cddb4b99ca4b,8.42,51
"SMOOR Luxe Treat Box of 16 | Premium Assorted Chocolate Gift Box for Celebration, Wedding, Birthday, Anniversary, Gifting,...",540.0,https://www.amazon.in/dp/B0FP2PQMH3,amazon,4.5,,,INR,540.0,540.0,540.0,"SMOOR Luxe Treat Box of 16 | Premium Assorted Chocolate Gift Box for Celebration, Wedding, Birthday, Anniversary, Gifting,...",,2202368efdf5b49b1e61f4e5e756117c,8.33,52
CookieMan Premium Chocolate Gift Pack | 25 Piece Chocolate Pack filled with Hazelnut Strawberry English Toffee | Luxury Ch...,584.0,https://www.amazon.in/dp/B0DHX5RLJV,amazon,4.8,,,INR,584.0,584.0,584.0,CookieMan Premium Chocolate Gift Pack | 25 Piece Chocolate Pack filled with Hazelnut Strawberry English Toffee | Luxury Ch...,,0701b9a9287ae145cf0b9bfe9aa9705f,8.22,53
"Astonished Retail Astonished Lovely Surprise for Birthday Boy and Birthday Girl | Chocolate Gift Hamper for Diwali, Birthd...",499.0,https://www.amazon.in/dp/B08L1V5DBX,amazon,4.0,,,INR,499.0,499.0,499.0,"Astonished Retail Astonished Lovely Surprise for Birthday Boy and Birthday Girl | Chocolate Gift Hamper for Diwali, Birthd...",,0016dbddec9b67176fc166b0083e59c2,8.02,54
"Ferrero Collection Premium Assorted Chocolates Gift Box 269g By COUGAR | Includes Ferrero Rocher, Raffaello & Dark Chocola...",1696.0,https://www.amazon.in/dp/B0GJT3YBXC,amazon,5.0,,269.0,INR,1696.0,1696.0,1696.0,"Ferrero Collection Premium Assorted Chocolates Gift Box 269g By COUGAR | Includes Ferrero Rocher, Raffaello & Dark Chocola...",6.3,cc52813c50583946f7c24d9415a32ca0,7.94,55
"SFU E Com Assorted Chocolate Gift Hamper | Chocolate Gift For Birthday, Anniversary, Valentine, Diwali, Rakhi, New Year | ...",419.0,https://www.amazon.in/dp/B0CSWPX6SM,amazon,3.3,,,INR,419.0,419.0,419.0,"SFU E Com Assorted Chocolate Gift Hamper | Chocolate Gift For Birthday, Anniversary, Valentine, Diwali, Rakhi, New Year | ...",,193af4cf1d26d7823f610ef7b7fe039f,7.88,56
Chokola Signature Dessert Square Chocolate Hamper – Premium Sponge Cake Enrobed in Dark Chocolate (Brownie) with Assorted ...,600.0,https://www.amazon.in/dp/B0FQTW7YTH,amazon,4.6,,,INR,600.0,600.0,600.0,Chokola Signature Dessert Square Chocolate Hamper – Premium Sponge Cake Enrobed in Dark Chocolate (Brownie) with Assorted ...,,9b001082bcb99bd922708bce30c1bb41,7.67,57
"Astonished Retail Chocolate Gift Hamper with Metal Cart Basket | Chocolate Gift Hamper for Diwali, Birthday, Holi, Rakhi, ...",549.0,https://www.amazon.in/dp/B08L1V54CB,amazon,4.1,,,INR,549.0,549.0,549.0,"Astonished Retail Chocolate Gift Hamper with Metal Cart Basket | Chocolate Gift Hamper for Diwali, Birthday, Holi, Rakhi, ...",,342a8dd60efa364f983b058f211d4ba8,7.47,58
"Rakhi Gift Set for Brother & Bhabhi,Men,Adult,Younger,Elder Brother – 4 Rakhi Combo with Handmade Chocolates, Almonds & Ti...",679.0,https://www.amazon.in/dp/B0FHBHCMBC,amazon,5.0,,,INR,679.0,679.0,679.0,"Rakhi Gift Set for Brother & Bhabhi,Men,Adult,Younger,Elder Brother – 4 Rakhi Combo with Handmade Chocolates, Almonds & Ti...",,4ad807fa45271c9b94ca9b8921d05b4c,7.36,59
"Omay Foods 6 Pcs Wonderful Delights Healthy Gift Hamper | Snacks, Chocolate & Potpourri | Corporate Gift for Clients & Emp...",516.0,https://www.amazon.in/dp/B08ZB5FQVM,amazon,3.8,,,INR,516.0,516.0,516.0,"Omay Foods 6 Pcs Wonderful Delights Healthy Gift Hamper | Snacks, Chocolate & Potpourri | Corporate Gift for Clients & Emp...",,414342da3a20de1938c234e401651b08,7.36,60
