name,price,rating,reviews,url,source
"SFU E Com Assorted Chocolate Gift Hamper | Chocolate Gift For Birthday, Anniversary, Valentine, Diwali, Rakhi, New Year | ...",419.0,3.3,,https://www.amazon.in/dp/B0CSWPX6SM,amazon
"Butterfly Chocolate Gift Hamper with Dairy Milk Bars and Love Heart Chocolates, Valentine's Day Special, 8 Pieces",299.0,,,https://www.amazon.in/dp/B0GLZXWNB1,amazon
"Astonished Retail Chocolate Gift Hamper with Metal Cart Basket | Chocolate Gift Hamper for Diwali, Birthday, Holi, Rakhi, ...",549.0,4.1,,https://www.amazon.in/dp/B08L1V54CB,amazon
"HARIBAS Premium Chocolate Gift Pack, Assorted Chocolates and Cookies Hamper Diwali Gift Pack – 7‑in‑1",299.0,4.6,,https://www.amazon.in/dp/B0FNJWJJQP,amazon
Astonished Retail Chocolate Gift Hamper with Multipurpose Basket|Chocolate Gift Collection|Chocolate Gift To Gift Your Lov...,399.0,4.2,,https://www.amazon.in/dp/B08L1RRM2V,amazon
Food Essential Chocolate Gift Hamper Basket for Family/Friend/Corporate/Wedding/Diwali/Christmas/New Year/Bhai Dooj/Rakhi...,654.0,3.7,,https://www.amazon.in/dp/B0CNRXL7SW,amazon
"SFU E Com Chocolate with Cute Teddy Hamper | Gift for Holi, Rakhi, Diwali, Anniversary, Birthday, Christmas, Valentine, He...",151.0,3.9,,https://www.amazon.in/dp/B07T3K3RJ7,amazon
"Chocoloony Chocolate Gift Hamper Basket with 40 pcs Milk Chocolate (240gm) for Gift Sister, Wife and Girlfriend",475.0,4.1,,https://www.amazon.in/dp/B08KYFVZ11,amazon
"Astonished Retail Astonished Dairy Milk Silk Flavored Chocolates with Handmade Basket | Chocolate Gift Hamper for Diwali, ...",619.0,4.3,,https://www.amazon.in/dp/B08L1S39MF,amazon
Butterfly Chocolate Gift Hamper For | Birthday | Cadbury dairymilk 13.2gm × 14 Cadbury five star 19.5gm × 14 Kitkat 20.5 g...,949.0,2.2,,https://www.amazon.in/dp/B0BY999T3K,amazon
"FlowerAura Love Hamper of Fresh Live 4 Mix Flowers with 19 Mix Chocolates in Basket for Birthday, Valentine's Day Gift for...",2349.0,4.2,,https://www.amazon.in/dp/B0DV338Q9F,amazon
"BREAK The Chocolate Chocolate Gift Hamper To Gift Someone Special in Happy Birthday, Anniversary, Thanks giving, Father's ...",299.0,,,https://www.amazon.in/dp/B0GDQRH5Z7,amazon
"Cadbury Celebrations Assorted Chocolate Gift Pack, 141.68 g",145.0,4.2,,https://www.amazon.in/dp/B07F2G714R,amazon
"Bakingo Premium Gift Hamper of Wheat Crackers, Almond Rocks, Jeera Cookies, French Hearts, Chocolate Barks, Candle For Bir...",1439.0,5.0,,https://www.amazon.in/dp/B0FVX7WSWM,amazon
"Astonished Retail Astonished Lovely Surprise for Birthday Boy and Birthday Girl | Chocolate Gift Hamper for Diwali, Birthd...",499.0,4.0,,https://www.amazon.in/dp/B08L1V5DBX,amazon
"Omay Foods 6 Pcs Wonderful Delights Healthy Gift Hamper | Snacks, Chocolate & Potpourri | Corporate Gift for Clients & Emp...",516.0,3.8,,https://www.amazon.in/dp/B08ZB5FQVM,amazon
"Cadbury Studio Signature Pralines Brownie Aux Noix Chocolate Gift Pack, 130 g",352.0,4.2,,https://www.amazon.in/dp/B0DDCSWYG8,amazon
"SFU E Com Assorted Chocolate Gift Hamper | Chocolate Gift For Birthday, Anniversary, Valentine, Diwali, Rakhi, New Year | 011",319.0,3.2,,https://www.amazon.in/dp/B0CSWPL8DY,amazon
Butterfly Chocolate Gift Hamper For | Birthday | Rakhi| Diwali | Cadbury dairymilk 13.2gm × 18 | purple tissue flower x 20...,625.0,2.6,,https://www.amazon.in/dp/B0CMQ75Q1Y,amazon
"SFU E Com Cadbury Chocolate Gift Combo|Gift for Holi, Rakhi, Diwali, Birthday, Anniversary, Valentine, Him, Her|Chocolate ...",209.0,4.0,,https://www.amazon.in/dp/B07PT78QJK,amazon
"Food Library The Magic Of Nature Assorted Gourmet Food Gift Hamper Basket | Premium Diwali & Festive Gift Box for Family, ...",735.0,4.0,,https://www.amazon.in/dp/B0BCWPGR92,amazon
"Amul Chocomini Chocolate, 250 Gm",127.0,4.4,,https://www.amazon.in/dp/B08G5FTVMF,amazon
Loyka Almond Brittle Assorted Choco Box - 8 pcs 116gm | Premium Chocolate Gift Hamper | Choco & Nut Dryfruit Delicacy | Ro...,299.0,4.3,,https://www.amazon.in/dp/B0BF4FXP8L,amazon
WINNI - 3 Pack Deluxe Chocolate Bar Gift Hamper | Premium Choco Bars Gift Pack | Belgian Dark Chocolates Gift | Chocolate ...,499.0,4.4,,https://www.amazon.in/dp/B0CNSWFM2D,amazon
Hyperfoods® Valentines Day Gifts For Girlfriend Chocolates Gift Hamper Chocolate Pack Sapphire Hazelfills 16 Pcs Chocolate...,299.0,3.6,,https://www.amazon.in/dp/B0D9JT9PLC,amazon
Assorted Chocolates Gift Basket with Decorative Net Basket | Chocolate Gift Hamper,259.0,,,https://www.amazon.in/dp/B0GCFFBW3G,amazon
"SFU E Com Overloaded Crunchy Kitkat Chocolate Box | Chocolate Gift Hamper For Rakhi, Diwali, Christmas, New Year, Birthda...",239.0,3.9,,https://www.amazon.in/dp/B0CDV9SJ5D,amazon
"FlowerAura Festival Gift Hamper of Set of 4 Assorted Flavor Chocolate Packs In Box For Diwali Gift, Corporate Gift, Bhaido...",899.0,,,https://www.amazon.in/dp/B0DKNWTYSD,amazon
"Open Secret Premium Gift Hamper | Combo of 5 | Dry Fruit Gift Box, Chocolate Gifts, Dry Fruits, Healthy Premium Hamper, Gi...",281.0,3.3,,https://www.amazon.in/dp/B0B53ZRB72,amazon
"Creamy Dairy Milk Silk with Chocolaty Dark Fantasy | Dairy Milk Chocolate Basket | Chocolate Gift Hamper for Holi, Rakhi, ...",549.0,,,https://www.amazon.in/dp/B0G2YR4M1Q,amazon
"Cadbury Celebrations Assorted Chocolate Diwali Gift Pack, 144.1 gram",95.0,4.3,,https://www.amazon.in/dp/B07FHDDK1M,amazon
"YUM YUM Dry fruits combo 150g Each Pack of 5 Badam, Kaju, Pista, Kishmish & Akhrot 750g - Almonds, Cashews, Pistachios, Ra...",825.0,3.9,,https://www.amazon.in/dp/B0CMV1DSJ4,amazon
"Farmley Dark Choco Orange Date Bites 200g I Dates Barfi Made with Dates,Cocoa Powder,Pista,Cashews,Almonds,Honey,Orange an...",309.0,4.4,,https://www.amazon.in/dp/B0DT9QKBLW,amazon
"Paper Boat Absolute Health Dry Fruits Mix, Premium Trail Mix | Healthy Mixed Nuts with Dry Fruits | Almonds | Cashews | Cr...",1088.0,4.2,,https://www.amazon.in/dp/B09QGTVT5B,amazon
Leeve Dry Fruits Brand Chocolates | Combo Pack | Cashew Chocolate Coated | Nuts | 200 gram Pack | Chocolate Covered Raisin...,529.0,5.0,,https://www.amazon.in/dp/B0B8N5JR56,amazon
"Diwali Gift Box Hamper Almond,Cashew,Raisin,Pistachio,Chocolates -Diwali Dry Fruit with Chocolate Combo Pack for Employee...",699.0,5.0,,https://www.amazon.in/dp/B0FQP85XSF,amazon
